#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
r_sky;radical;空;sky;;;;;;38
r_have;radical;有;have;;;;;;38
r_tooth;radical;歯;tooth;;;;;;38
r_clothes;radical;衣;clothes;;;;;;23
r_buddy;radical;君;buddy;;;;;;39
r_former;radical;旧;former;;;;;;39
r_six;radical;六;six;;;;;;39
r_hill;radical;岡;hill;;;;;;39
r_valuable;radical;貴;valuable;;;;;;36
r_shark;radical;;shark;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/752111703956266a14c047b75d60b11fc3082f95.png;;;;;33
r_satellite;radical;;satellite;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/84df6285a76a38b676b2048954c7c78ce07f4442.png;;;;;42
r_elf;radical;;elf;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/c8972ae89ac74273cd864308953f38b73f8bf3c1.png;;;;;32
r_three;radical;三;three;;;;;;39
r_employ;radical;雇;employ;;;;;;40
r_every;radical;毎;every;;;;;;40
r_preserve;radical;保;preserve;;;;;;40
r_pope;radical;;pope;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/237370c5ef128a5383e8b4c41f82c10795e90af5.png;;;;;9
r_trident;radical;;trident;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/197018ba1485d65fdcd18fe3a463d8f09d5f4717.png;;;;;41
r_creeper;radical;;creeper;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/9ebccb9b7446f98134948e0069effb49f49f0048.png;;;;;13
r_dragon;radical;竜;dragon;;;;;;44
r_imperial;radical;龍;imperial;;;;;;43
r_wedding;radical;甫;wedding;;;;;;25
r_sauron;radical;罒;sauron;;;;;;8
r_say;radical;言;say;;;;;;5
r_wide;radical;広;wide;;;;;;41
r_pool;radical;勺;pool;;;;;;14
r_house;radical;家;house;;;;;;45
r_shop;radical;屋;shop;;;;;;42
r_grenade;radical;臼;grenade;;;;;;42
r_bone;radical;骨;bone;;;;;;42
r_melon;radical;瓜;melon;;;;;;42
r_pirate;radical;尢;pirate;;;;;;43
r_business;radical;業;business;;;;;;43
r_redwood;radical;耒;redwood;;;;;;43
r_wrap;radical;包;wrap;;;;;;44
r_blade;radical;刃;blade;;;;;;44
r_can;radical;缶;can;;;;;;44
r_again;radical;更;again;;;;;;45
r_protect;radical;守;protect;;;;;;45
r_nothing;radical;無;nothing;;;;;;17
r_mask;radical;曽;mask;;;;;;18
r_request;radical;求;request;;;;;;31
r_suit;radical;合;suit;;;;;;8
r_signpost;radical;丰;signpost;;;;;;41
r_umbrella;radical;乚;umbrella;;;;;;4
r_favor;radical;恵;favor;;;;;;46
r_wave;radical;波;wave;;;;;;47
r_task;radical;務;task;;;;;;47
r_tombstone;radical;圣;tombstone;;;;;;10
r_tsunami;radical;氵;tsunami;;;;;;5
r_psychopath;radical;;psychopath;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/ca255a49b2bbcdb899f5bd7b3eed8cad5c98ef0b.png;;;;;50
r_corn;radical;;corn;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/6129f791e38bf8bdf4ccc3643732e56f84ccf4f0.png;;;;;23
r_lineage;radical;系;lineage;;;;;;30
r_sunlight;radical;光;sunlight;;;;;;48
r_times;radical;回;times;;;;;;49
r_name;radical;名;name;;;;;;50
r_splinter;radical;禺;splinter;;;;;;50
r_stick;radical;;stick;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/802e9542627291d4282601ded41ad16ce915f60f.png;;;;;1
r_protester;radical;舛;protester;;;;;;36
r_badger;radical;豸;badger;;;;;;43
r_scroll;radical;巻;scroll;;;;;;39
r_sick;radical;疒;sick;;;;;;10
r_sell;radical;売;sell;;;;;;10
r_noon;radical;午;noon;;;;;;18
r_cobra;radical;己;cobra;;;;;;7
r_righteousness;radical;義;righteousness;;;;;;20
r_crab-trap;radical;甚;crab-trap;;;;;;49
r_father;radical;父;father;;;;;;3
r_cactus;radical;;cactus;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/28e84ccb932668469e3fdcadc9d3bd55b51d917e.png;;;;;41
r_boob;radical;;boob;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/e4838ed036799dd69074635a107ffbb55b5e4bf6.png;;;;;11
r_nurse;radical;㐮;nurse;;;;;;39
r_black-hole;radical;复;black-hole;;;;;;19
r_ox;radical;尞;ox;;;;;;29
r_elephant;radical;用;elephant;;;;;;3
r_small;radical;小;small;;;;;;2
r_thousand;radical;千;thousand;;;;;;2
r_hercules;radical;絜;hercules;;;;;;28
r_saw;radical;巩;saw;https://s3.amazonaws.com/s3.wanikani.com/images/radicals/2c88a5996473bd6cdcc5ccd4ee6fe61310a0ef92.png;;;;;15
r_death;radical;亡;death;;;;;;6
r_sock;radical;享;sock;;;;;;33
r_propaganda;radical;辟;propaganda;;;;;;38
r_neck;radical;首;neck;;;;;;6
r_fish-tail;radical;灬;fish-tail;;;;;;6
r_geoduck;radical;頁;geoduck;;;;;;10
r_demolition-man;radical;敝;demolition-man;;;;;;47
